State,Total _2025,18yo_2025,Young_2025,Total _2024,18yo_2024,Young_2024,Distance,young_percent_2025,population_growth_percent,Region,predicted_growth,residual
AL,5193088,4075161,1117927,5157699,4022842,1134857,-7.0,21.52721078479702,0.6861393035925516,South / negative,0.5575908632146671,0.1285484403778845
AZ,7623818,6026503,1597315,7582384,5994209,1588175,-5.5,20.951641290492507,0.5464508260198903,South / negative,0.5101346383432501,0.03631618767664013
AR,3114791,2416023,698768,3088354,2386510,701844,-4.6,22.43386474405506,0.8560223342272291,South / negative,0.6298306494711818,0.22619168475604723
CA,39355309,31180511,8174798,39431263,31012711,8418552,-2.7,20.77177948215322,-0.1926238071552514,South / negative,0.49503719703368265,-0.687661004188934
CO,6012561,4792358,1220203,5957493,4744328,1213165,-0.8,20.294230694707295,0.9243485472832279,South / negative,0.4543088836475775,0.4700396636356504
CT,3688496,2970201,718295,3675069,2947242,727827,1.6,19.47392650012363,0.36535368451585537,North / positive,0.3820580798058506,-0.016704395289995233
DE,1059952,849963,209989,1051917,838204,213713,-0.5,19.8111801289115,0.7638435351838595,South / negative,0.4121244483240387,0.3517190868598208
FL,23462518,19019796,4442722,23372215,18872523,4499692,-6.8,18.93540156261148,0.3863690283526829,South / negative,0.3329515571862647,0.05341747116641821
GA,11302748,8796778,2505970,11180878,8640127,2540751,-18.8,22.171333909240477,1.0899859563801697,South / negative,0.6092176368829989,0.4807683194971708
ID,2029733,1557631,472102,2001619,1533172,468447,0.2,23.259315387787456,1.4045630062464434,North / positive,0.6931051299152946,0.7114578763311488
IL,12719141,10100540,2618601,12710158,10012697,2697461,0.1,20.587876178116115,0.07067575399141379,North / positive,0.4794647417808964,-0.4087889877894826
IN,6973333,5397168,1576165,6924275,5338189,1586086,2.0,22.60274964640295,0.70849294691502,North / positive,0.6429637944809317,0.0655291524340883
IA,3238387,2518739,719648,3241488,2510913,730575,-1.0,22.22242122389943,-0.0956659410739759,South / negative,0.6132478962547987,-0.7089138373287746
KS,2977220,2294452,682768,2970606,2278027,692579,-2.1,22.93307179180578,0.22264817347032892,South / negative,0.6683696453881041,-0.4457214719177751
KY,4606864,3590081,1016783,4588372,3562700,1025672,-8.8,22.07104442414623,0.4030187613384442,South / negative,0.6012787558832322,-0.198259994544788
LA,4618189,3568234,1049955,4597740,3531346,1066394,5.0,22.735210707054215,0.44476199176116965,North / positive,0.6531959962995009,-0.20843400453833122
ME,1414874,1170629,244245,1405012,1157930,247082,-0.9,17.262667912478424,0.7019157131754035,South / negative,0.17099728226424027,0.5309184309111632
MD,6265347,4928480,1336867,6263220,4891983,1371237,2.0,21.33747739750089,0.03396016745380172,North / positive,0.5420888344056962,-0.5081286669518945
MA,7154084,5826510,1327574,7136171,5780452,1355719,4.5,18.556869055493337,0.2510169669420758,North / positive,0.297591105228487,-0.04657413828641116
MI,10127884,8065114,2062770,10140459,8031116,2109343,6.9,20.36723564369418,-0.12400819331748199,North / positive,0.46059686643581443,-0.5846050597532965
MN,5830405,4547092,1283313,5793151,4494094,1299057,-6.8,22.010700800373215,0.6430697214693696,South / negative,0.5964845741809253,0.04658514728844432
MS,2954160,2295720,658440,2943045,2268423,674622,-1.9,22.288569339507678,0.3776700662069387,South / negative,0.6184525536787477,-0.24078248747180903
MO,6270541,4910413,1360128,6245466,4873374,1372092,7.1,21.690760015762596,0.4014912578180716,North / positive,0.5708442789042163,-0.1693530210861447
MT,1144694,913041,231653,1137233,904578,232655,1.5,20.237111402698012,0.6560660832037059,North / positive,0.44937335439158765,0.2066927288121182
NE,2018006,1538757,479249,2005465,1521153,484312,-1.0,23.748640985210155,0.6253412550206561,South / negative,0.7295623762552088,-0.10422112123455274
NV,3282188,2603663,678525,3267467,2579031,688436,3.4,20.672947436283355,0.450532476686069,North / positive,0.48668557294367876,-0.03615309625760976
NH,1415342,1170277,245065,1409032,1159668,249364,0.1,17.314896328943817,0.44782517359435414,North / positive,0.17628726681669615,0.271537906777658
NJ,9548215,7557289,1990926,9500851,7455868,2044983,-5.0,20.85129000551412,0.4985237638186306,South / negative,0.5017272976320486,-0.0032035338134179803
NM,2125498,1686046,439452,2130256,1682353,447903,3.1,20.675248812278348,-0.22335343733335336,North / positive,0.4868805002234824,-0.7102339375568357
NY,20002427,16097036,3905391,19867248,15884969,3982279,-4.0,19.524585691526333,0.680411298031816,South / negative,0.3866074583062602,0.2938038397255558
NC,11197968,8838026,2359942,11046024,8685722,2360302,7.3,21.07473427321814,1.3755537739190138,North / positive,0.5203924379844436,0.8551613359345702
ND,799358,616388,182970,796568,611305,185263,0.1,22.889618919182645,0.35025258358357353,North / positive,0.6650485630179626,-0.31479597943438903
OH,11900510,9368603,2531907,11883304,9308934,2574370,-4.8,21.275617599581867,0.1447913812522174,South / negative,0.5370048134066545,-0.3922134321544371
OK,4123288,3165587,957701,4095393,3129179,966214,3.9,23.226633696215256,0.6811312125600645,North / positive,0.6906429232173465,-0.009511710657282069
OR,4273586,3461772,811814,4272371,3446156,826215,0.8,18.996084318883486,0.028438541503067034,North / positive,0.33855438693017437,-0.31011584542710735
PA,13059432,10488801,2570631,13078751,10448930,2629821,1.9,19.684094989736153,-0.14771288175759292,North / positive,0.4008552574144142,-0.5485681391720071
RI,1114521,916867,197654,1112308,907717,204591,-6.8,17.734434793063567,0.19895568493618673,South / negative,0.2182104648584442,-0.019254779922257464
SC,5570274,4421834,1148440,5478831,4326760,1152071,4.1,20.617298179586857,1.6690239213438047,North / positive,0.4819654449381199,1.1870584764056848
SD,935094,714952,220142,924669,703963,220706,-4.2,23.54223211784056,1.127430464306687,South / negative,0.7142763222958086,0.4131541420108784
TN,7315076,5739349,1575727,7227750,5645233,1582517,-8.8,21.54081516036197,1.2082044896406212,South / negative,0.5586971437546522,0.649507345885969
TX,31709821,24109307,7600514,31290831,23625608,7665223,-0.9,23.968959017460236,1.3390184492064143,South / negative,0.7457326044885546,0.5932858447178597
VA,8880107,7019802,1860305,8811195,6927764,1883431,7.4,20.949128203072327,0.7820959586072037,North / positive,0.509924586155134,0.2721713724520697
WA,8001020,6366184,1634836,7958180,6303143,1655037,-1.3,20.432844812286433,0.5383140366264648,South / negative,0.46622864410107123,0.07208539252539359
WV,1766147,1421798,344349,1769979,1421615,348364,4.7,19.49718794641669,-0.21649974378227088,North / positive,0.3841485094327499,-0.6006482532150208
WI,5972787,4750680,1222107,5960975,4719976,1240999,2.9,20.461252008484482,0.19815550308464636,North / positive,0.4686614610438742,-0.2705059579592278
WY,588753,461419,127334,587618,459626,127992,5.0,21.627745421254755,0.19315269443754274,North / positive,0.5657496846679768,-0.3725969902304341
